Information Block,Attribute,ISE Version,Description
DeploymentInfo,CiscoAccountID,2.7&3.O,update2
DeploymentInfo,DeploymentID,2.7&3.O,update1
DeploymentInfo,NodeList,2.7&3.O,Internal infrastructure attribute
DeploymentInfo,xmlns,2.7,Internal infrastructure attribute
DeploymentInfo,xmlns:ns2,2.7,Internal infrastructure attribute
DeploymentInfo,xmlns:ns3,2.7,Internal infrastructure attribute
DeploymentInfo,xmlns:ns4,2.7,Internal infrastructure attribute
DeploymentInfo,xmlns:ns5,2.7,Internal infrastructure attribute
DeploymentInfo,xmlns:ns6,2.7,Internal infrastructure attribute
DeploymentInfo,CountInfo,2.7&3.O,Internal infrastructure attribute
DeploymentInfo,MnTNodeCount,2.7&3.O,number of MNT nodes
DeploymentInfo,Node,2.7&3.O,Internal infrastructure attribute
DeploymentInfo,NodeCount,2.7&3.O,Number of Nodes of ISE (includes all types of nodes)
DeploymentInfo,PAPNodeCount,2.7&3.O,number of PAP nodes
DeploymentInfo,PDPNodeCount,2.7&3.O,number of PDP nodes
DeploymentInfo,PICNodeCount,2.7&3.O,number of PIC nodes
DeploymentInfo,PxGridNodeCount,2.7&3.O,number of PxGrid nodes
DeploymentInfo,CurrentGuestUserCount,2.7&3.O,Current number of guest users
DeploymentInfo,CurrentMDMEndPtCount,2.7&3.O,Current number of MDM endpoints
DeploymentInfo,CurrentPostureEndptCount,2.7&3.O,Current number of posture endpoints
DeploymentInfo,CurrentPxGridClientCount,2.7&3.O,Current number of pxgrid clients
DeploymentInfo,fromDate,2.7&3.O,nan
DeploymentInfo,toDate,2.7&3.O,nan
DeploymentInfo,CountInfo_23,2.7&3.O,nan
DeploymentInfo,Disk,2.7&3.O,nan
DeploymentInfo,LastLoggedInAdminViaCLI,2.7&3.O,user logged in via CLI
DeploymentInfo,LastLoggedInAdminViaCLITimestamp,2.7&3.O,timestamp of last login of admin via CLI
DeploymentInfo,LoadAvg,2.7&3.O,nan
DeploymentInfo,Memory,2.7&3.O,nan
DeploymentInfo,Name,2.7&3.O,nan
DeploymentInfo,NodeServiceType,2.7&3.O,nan
DeploymentInfo,NodeTypes,2.7&3.O,Type of node
DeploymentInfo,NumberOfCpuCores,2.7&3.O,number of cpu cores
DeploymentInfo,PID,2.7&3.O,nan
DeploymentInfo,PT,2.7&3.O,nan
DeploymentInfo,PatchVersion,2.7&3.O,nan
DeploymentInfo,PeakCpuUtilization,2.7&3.O,nan
DeploymentInfo,PeakMemoryUtilization,2.7&3.O,nan
DeploymentInfo,Profile,2.7&3.O,nan
DeploymentInfo,ProfilerProbes,2.7&3.O,number of profiler probes
DeploymentInfo,SN,2.7&3.O,Serial Number
DeploymentInfo,Status,2.7&3.O,nan
DeploymentInfo,Uptime,2.7&3.O,nan
DeploymentInfo,VID,2.7&3.O,nan
DeploymentInfo,VMDiskSpace,2.7&3.O,Amount of disk space on VM
DeploymentInfo,Version,2.7&3.O,nan
DeploymentInfo,telemetryEnabled,2.7&3.O,Is telemetry enabled
DeploymentInfo,FileSystem,2.7&3.O,nan
DeploymentInfo,Free,2.7&3.O,nan
DeploymentInfo,LoadAvgFifteen,2.7&3.O,nan
DeploymentInfo,LoadAvgFive,2.7&3.O,nan
DeploymentInfo,LoadAvgOne,2.7&3.O,nan
DeploymentInfo,Percent,2.7&3.O,nan
DeploymentInfo,Total,2.7&3.O,nan
DeploymentInfo,Available,2.7&3.O,nan
DeploymentInfo,MountPoint,2.7&3.O,nan
DeploymentInfo,Used,2.7&3.O,nan
DeploymentInfo,FileSystem_8,2.7&3.O,nan
DeploymentInfo,FileSystem_8R,2.7&3.O,nan
DeploymentInfo,Disk_5,2.7&3.O,nan
DeploymentInfo,LoadAvg_0,2.7&3.O,nan
DeploymentInfo,Memory_57,2.7&3.O,nan
DeploymentInfo,Node_3,2.7&3.O,nan
DeploymentInfo,Node_3A,2.7&3.O,nan
DeploymentInfo,NodeList_75,2.7&3.O,nan
DeploymentInfo,DeploymentInfo_73,2.7&3.O,nan
DeploymentInfo,DeploymentInfo_15,2.7&3.O,nan
DeploymentInfo,FIPSStatus,3.O,nan
DeploymentInfo,GuestAuthenticatedExternalIdSourceInfo,3.O,nan
DeploymentInfo,ActiveDirectoryInfo,3.O,nan
DeploymentInfo,CertificateAuthProfileInfo,3.O,nan
DeploymentInfo,IdentityProviderInfo,3.O,nan
DeploymentInfo,LdapInfo,3.O,nan
DeploymentInfo,OdbcInfo,3.O,nan
DeploymentInfo,RADIUSTokenInfo,3.O,nan
DeploymentInfo,RSASecurIdInfo,3.O,nan
DeploymentInfo,SocialLoginInfo,3.O,nan
DeploymentInfo,AppId,3.O,nan
DeploymentInfo,DomainName,3.O,nan
DeploymentInfo,HostName,3.O,nan
DeploymentInfo,IdentityFrom,3.O,nan
DeploymentInfo,IdpProviderId,3.O,nan
DeploymentInfo,PrimaryHostName,3.O,nan
DeploymentInfo,SecurIdPath,3.O,nan
DeploymentInfo,VMCpuLimit,3.O,nan
DeploymentInfo,VMCpuReservation,3.O,nan
DeploymentInfo,VMMemoryLimit,3.O,nan
DeploymentInfo,VMMemoryReservation,3.O,nan
DeploymentInfo,nan,3,nan
DeploymentInfo,ActiveDirectoryInfo_58,3.O,nan
DeploymentInfo,CertificateAuthProfileInfo_58,3.O,nan
DeploymentInfo,IdentityProviderInfo_58,3.O,nan
DeploymentInfo,LdapInfo_58,3.O,nan
DeploymentInfo,OdbcInfo_58,3.O,nan
DeploymentInfo,RADIUSTokenInfo_58,3.O,nan
DeploymentInfo,RSASecurIdInfo_58,3.O,nan
DeploymentInfo,SocialLoginInfo_58,3.O,nan
DeploymentInfo,ActiveDirectoryInfo_58R,3.O,nan
DeploymentInfo,CertificateAuthProfileInfo_58R,3.O,nan
DeploymentInfo,IdentityProviderInfo_58R,3.O,nan
DeploymentInfo,LdapInfo_58R,3.O,nan
DeploymentInfo,OdbcInfo_58R,3.O,nan
DeploymentInfo,RADIUSTokenInfo_58R,3.O,nan
DeploymentInfo,RSASecurIdInfo_58R,3.O,nan
DeploymentInfo,SocialLoginInfo_58R,3.O,nan
DeploymentInfo,GuestAuthenticatedExternalIdSourceInfo_30,3.O,nan
LicensesInfo,DeploymentID,2.7&3.O,nan
LicensesInfo,NodeList,2.7&3.O,nan
LicensesInfo,xmlns,2.7,nan
